phrase,popularity
inheritance,0.024791666666666667
semantics,0.04847222222222222
machine translation,0.003859154929577465
at,1.1451612903225807
machine translation,0.003859154929577465
mathematical logic,0.0034112903225806453
artificial intelligence,3.862903225806452e-05
software development,0.1443548387096774
knowledge representation,0.006701612903225807
arithmetic,0.10725806451612903
machine translation,0.003859154929577465
an,1.1048387096774193
belief revision,0.000392741935483871
prolog,0.004402777777777778
machine translation,0.003859154929577465
semantics,0.04847222222222222
method,0.9652777777777778
method,0.9652777777777778
we,0.9586206896551724
algorithm,0.5756944444444444
queue,0.04451388888888889
queueing theory,0.0009758064516129032
matching,0.015161290322580645
hilbert space,0.0016532258064516129
computation,0.28125
their,1.006896551724138
optimal control,0.004532258064516129
queue,0.04451388888888889
queue,0.04451388888888889
calculus,0.19516129032258064
means,0.9596774193548387
or,0.9241379310344827
use,0.696551724137931
one,0.9517241379310345
means,0.9596774193548387
two,0.9724137931034482
means,0.9596774193548387
tree,0.29305555555555557
formal verification,0.0025277777777777777
probability,0.3741935483870968
combinatorial optimization,0.00017016129032258065
method,0.9652777777777778
class,0.9236111111111112
logic programming,0.19516129032258064
unix,0.10725806451612903
source code,0.04879032258064516
cryptography,1.032258064516129
malware,0.01806451612903226
entropy,9.274193548387096e-05
bit,0.3840277777777778
stack,0.1597222222222222
information privacy,0.0010070422535211267
encryption,0.04756944444444444
algorithm,0.5756944444444444
cryptography,1.032258064516129
malware,0.01806451612903226
hash function,0.0019930555555555556
encryption,0.04756944444444444
stack,0.1597222222222222
formal methods,1.782258064516129e-06
data mining,0.12661290322580646
identification,0.3564516129032258
encryption,0.04756944444444444
identification,0.3564516129032258
authentication,0.052258064516129035
storage,0.32222222222222224
memory,0.39861111111111114
set,0.9583333333333334
algorithms,0.002991935483870968
authentication,0.052258064516129035
sequence,0.41597222222222224
authentication,0.052258064516129035
formal methods,1.782258064516129e-06
key management,0.000567741935483871
geometry,0.2435483870967742
permutations,0.010403225806451612
matrix,0.31805555555555554
authentication,0.052258064516129035
hash function,0.0019930555555555556
list,0.9375
computation,0.28125
integer,0.1423611111111111
formal methods,1.782258064516129e-06
encryption,0.04756944444444444
encryption,0.04756944444444444
sequence,0.41597222222222224
authentication,0.052258064516129035
formal methods,1.782258064516129e-06
